reference,EU_ReferenceScenario_2020,EU27,Final Energy|Residential and Commercial,EJ/yr,18.1195,N/A,N/A,N/A,N/A,18.9435,N/A,N/A,N/A,N/A,17.1014,N/A,N/A,N/A,N/A,16.3859,16.4834,15.7472,15.521,15.225,14.9733,14.7616,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Final Energy|Residential and Commercial,EJ/yr,18.1195,N/A,N/A,N/A,N/A,18.9435,N/A,N/A,N/A,N/A,17.1014,N/A,N/A,N/A,N/A,16.3859,16.4834,15.7472,15.521,15.225,14.9733,14.7616,NA
reference,EU_ReferenceScenario_2020,EU27,Final Energy|Transportation,EJ/yr,11.7059,N/A,N/A,N/A,N/A,11.6197,N/A,N/A,N/A,N/A,11.3348,N/A,N/A,N/A,N/A,9.6837,10.7812,9.9751,9.2165,8.6574,8.2137,8.0455,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Final Energy|Transportation,EJ/yr,11.7059,N/A,N/A,N/A,N/A,11.6197,N/A,N/A,N/A,N/A,11.3348,N/A,N/A,N/A,N/A,9.6837,10.7812,9.9751,9.2165,8.6574,8.2137,8.0455,NA
reference,EU_ReferenceScenario_2020,EU27,GDP|MER,billion EUR_2020/yr,11859.16,N/A,N/A,N/A,N/A,12460.3979,N/A,N/A,N/A,N/A,13103.3897,N/A,N/A,N/A,N/A,13166.4301,15039.5098,15893.3651,16890.1771,18130.0576,19469.3894,20885.3505,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,GDP|MER,billion EUR_2020/yr,11859.16,N/A,N/A,N/A,N/A,12460.3979,N/A,N/A,N/A,N/A,13103.3897,N/A,N/A,N/A,N/A,13166.4301,15039.5098,15893.3651,16890.1771,18130.0576,19469.3894,20885.3505,NA
reference,EU_ReferenceScenario_2020,EU27,Population,million,431.5513,N/A,N/A,N/A,N/A,437.6608,N/A,N/A,N/A,N/A,443.6668,N/A,N/A,N/A,N/A,447.671,449.2971,449.1216,448.2337,446.7549,444.4716,441.221,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Population,million,431.5513,N/A,N/A,N/A,N/A,437.6608,N/A,N/A,N/A,N/A,443.6668,N/A,N/A,N/A,N/A,447.671,449.2971,449.1216,448.2337,446.7549,444.4716,441.221,NA
reference,EU_ReferenceScenario_2020,EU27,Primary Energy,EJ/yr,62.4847,N/A,N/A,N/A,N/A,61.0396,N/A,N/A,N/A,N/A,56.6642,N/A,N/A,N/A,N/A,49.7062,52.3894,50.1658,48.0064,46.1643,45.3405,45.1396,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Primary Energy,EJ/yr,62.4847,N/A,N/A,N/A,N/A,61.0396,N/A,N/A,N/A,N/A,56.6642,N/A,N/A,N/A,N/A,49.7062,52.3894,50.1658,48.0064,46.1643,45.3405,45.1396,NA
